Location,Price,Crime Rating
NY,"225,250",8
NY,315542,5
NY,450265,2
NY,750250,1
NY,554668,2
NY,322124,4
NY,411258,2
NY,355412,4
NY,466251,2
NY,701251,1
NY,241315,4
NY,345215,5
NY,198562,9
NY,188752,8
NY,741245,2
NY,642315,3
NY,423561,2
NY,521446,1
NY,245685,8
NY,245543,4
FL,120321,5
FL,152015,4
FL,214521,6
FL,235213,4
FL,263531,2
FL,258964,4
FL,325645,2
FL,325641,1
FL,324512,2
FL,245120,5
FL,245784,4
FL,265124,5
FL,352156,2
FL,359521,3
FL,398541,1
FL,401213,1
FL,402315,1
FL,256012,5
FL,314021,2
FL,159632,8
FL,201321,6
FL,204201,5
FL,205236,4
FL,207205,6
FL,206201,4
FL,198265,5
